Dictionary index,Session and Scene,Sign gloss labels from the Gallaudet Dictionary,Start frame,End frame
154,,authority,1142,1172
155,,autumn,1371,1407
156,,average,1573,1605
157,,avoid2,1906,1966
158,scene27-camera1,awake,397,422
159,,away-fr,755,780
160,,awful2,934,950
161,,awkward,1116,1180
162,,b,1416,1435
163,,baby,1608,1671
164,scene28-camera1,bachelor,316,352
165,,back_in_mind-fr,550,580
166,,back_together,728,770
167,,back_up,924,968
168,,back1-fr,1139,1173
169,,back-fr_body,1320,1350
170,,background,1756,1800
172,scene29-camera1,bacon,1065,1107
173,,bad,1333,1361
174,,badge1,1576,1617
175,,badge2,1822,1870
176,,badge3,2081,2128
177,scene30-camera1,badminton,325,381
178,,bake,584,621
179,,balance,816,887
180,,bald,1082,1126
181,,ball,1759,1788
182,,balloon,2073,2126
183,scene31-camera1,baloney,344,385
184,,baltimore,552,586
185,,banana,797,853
186,,bandage,1018,1056
187,,bangladesh,1222,1276
188,,baptist,1449,1506
189,scene32-camera1,bar2-fr,300,336
195,scene33-camera1,basket1,341,372
196,,basket2,555,592
197,,basket3,826,868
198,,basketball1,1040,1067
199,,bat,1299,1335
200,,bath,1581,1622
201,scene34-camera1,bathing_suit,289,340
202,,bathrobe1,532,597
203,,bathrobe2,822,871
204,,bathroom,1051,1076
205,,bathtub,1327,1381
206,,bawl_out-fr,1566,1590
207,scene35-camera1,be_careful,506,535
208,,beach2,763,816
209,,beans,1009,1050
210,,bear,1251,1290
211,,beard,1513,1563
212,,beat_abuse,1745,1790
213,scene36-camera1,beat_hit-fr,260,288
214,,beautiful,473,523
215,,because1,686,703
216,,become,847,882
217,,become_fat,1048,1072
218,,bed,1323,1352
219,scene37-camera1,bedroom,392,452
220,,bee,663,696
221,,beer,878,910
222,,before1,1077,1098
223,,before2-fr,1278,1300
224,,beg-fr,1497,1538
225,scene38-camera1,beggar,273,325
226,,behavior-n1,495,535
227,,behavior-n2,704,755
228,,behind_time,1164,1186
229,,beijing,1395,1428
230,,belgium1,1671,1691
231,scene39-camera1,belgium2,312,345
232,,believe,497,537
233,,belize,696,721
234,,bell,950,993
235,,belong1,1316,1352
236,,belong2,1526,1561
237,scene40-camera1,belong3,302,346
238,,below1,498,522
239,,below2,725,753
240,,belt,924,971
241,,benefit,1107,1156
242,,beside,1374,1398
243,scene41-camera1,best,262,286
244,,bet,446,472
245,,better,644,680
246,,between2,869,906
247,,beyond-fr,1084,1112
248,,bible,1304,1365
249,scene42-camera1,bicycle-fr,237,281
250,,big,425,452
252,,billion-fr,1405,1435
253,,bind,1664,1678
254,,biology,1880,1936
255,scene43-camera1,bird,263,291
256,,birthday1,463,500
257,,birthday2,916,968
258,,birthday3-fr,1356,1392
259,,bison,1650,1680
260,,bite,1886,1917
261,scene44-camera1,black,485,501
262,scene45-camera1,blackberry,286,338
263,,blame-fr,536,560
264,,blanket-n,755,791
265,,blanket-v,1002,1050
266,,blank-out,1231,1250
267,,bless,1455,1485
268,scene46-camera1,blind1,249,281
269,,blind2,459,495
270,,blinds1,677,725
271,,blinds2,880,915
272,,blink,1087,1121
273,,block,1337,1365
274,scene47-camera1,blockheaded-fr,439,470
275,,blond1,630,655
276,,blond2,808,830
277,,blood,1028,1078
278,,blossom,1252,1277
279,,blouse,1496,1536
280,scene48-camera1,blow_nose,298,320
281,,blow_nose2,473,488
282,,blow_up1,666,715
283,,blue,851,875
284,,blueberry,1082,1135
285,,blush,1372,1445
286,scene49-camera1,boat,258,301
287,,body,460,505
288,,boil,648,711
289,,boiling_mad,885,953
290,,bolivia-fr,1139,1182
291,,bomb1,1359,1393
292,scene50-camera1,bomb2,264,291
293,,bombay,464,511
295,,bored,1438,1445
296,,born1,1669,1691
297,,born2,1917,1952
298,,borrow,2173,2206
299,scene51-camera1,boss1,462,482
300,,boss2,642,682
301,,boston,845,893
302,,both,1048,1075
303,,botswana,1250,1287
304,,bottle,1481,1505
305,scene52-camera1,bounce,275,322
306,,bowling,531,561
307,,bowtie2,825,865
308,,bowtie3,1010,1046
309,,boxing1,1230,1282
310,,boxing2,1430,1495
311,scene53-camera1,boy,326,351
312,,boyfriend,519,580
313,,bra,760,811
314,,bracelet1,986,1021
315,,brag,1244,1307
316,,brain,1449,1481
317,scene54-camera1,brake2,253,281
318,,branch_fork_in_road,512,541
319,,brave-fr,680,705
320,,brawl_big_fight,937,981
321,,brazil,1153,1175
322,,bread,1370,1408
323,scene55-camera1,break_record,278,307
324,,break1,456,485
325,,break2,652,691
326,,breakdown1,944,978
327,,breakdown2,1152,1201
328,,breakfast,1378,1407
329,scene56-camera1,breasts,265,292
330,,breathe,505,550
331,,bridge,768,818
332,,bring,958,991
333,,broke,1187,1215
334,,broom1,1471,1530
335,scene57-camera1,broom2,264,321
336,,brother_in_law-side,567,665
337,,brother2,977,1028
338,,brown,1213,1240
339,,brush_for_make_up,1457,1541
340,,brushing_teeth,1743,1812
342,scene58-camera1,bug,1559,1592
343,,build_up,1774,1826
344,,building1,1976,2021
346,,bulgaria,3269,3307
347,scene59-camera1,bull1,303,317
348,,bull2,516,533
349,,burn2,688,717
350,,bury,911,955
351,,bus,1372,1410
352,,business,1680,1711
353,scene60-camera1,busy2,490,525
354,,but2,668,695
355,,butter,902,935
356,,butterfly-fr,1092,1125
357,,buttons,1362,1410
358,,buy,1561,1590
359,scene61-camera1,c,293,300
360,,c_o,489,506
361,,c_p,695,725
362,,cabbage-fr,874,905
363,,cabinet-fr,1117,1191
364,,cafeteria,1410,1443
365,,cake,1617,1645
366,,calculus,1775,1810
367,,california,2047,2065
368,scene62-camera1,call_on_phone,438,475
369,,call_on_tty,645,665
370,,camera,832,861
371,,camp_noun,1089,1130
372,,camping,1328,1372
373,,can1,1538,1560
374,scene63-camera1,canada,293,320
375,,candle,455,490
376,,candy_cane,713,796
377,,candy1,967,993
378,,candy2,1194,1221
379,,cane,1630,1690
380,scene64-camera1,canoe,258,325
381,,canoeing,546,631
382,,cant-fr,772,792
383,,capital_letter,965,990
384,,capital1,1175,1211
385,,capital2,1460,1490
386,scene65-camera1,capture1,258,281
387,,car_dashboard,530,612
388,,car2,815,878
389,,careless,1052,1091
390,,carpenter-fr,1266,1306
391,,carrot,1590,1628
392,scene66-camera1,carry,287,340
393,,cashier,557,597
394,,cat,739,775
395,,catch_ball,927,951
396,,catch1,1055,1085
397,,caterpillar_side,1319,1375
398,scene67-camera1,catholic,272,327
399,,cause-fr,461,492
400,,ceiling,692,721
401,,celebrate,928,990
402,,center1,1130,1168
403,,center2,1321,1360
404,scene68-camera1,central_america,336,397
405,,cereal2,599,663
406,,certificate,830,875
407,,certify,1082,1111
408,,chain,1302,1350
409,,chair,1538,1582
410,scene69-camera1,chalk2,271,322
411,,challenge,461,495
412,,champagne,648,668
413,,champion,915,945
414,,chance,1487,1515
415,,change2,1705,1735
416,scene70-camera1,change3_money,337,378
417,,channel,905,948
418,,chapter-sh,1147,1172
419,,character1,1537,1575
420,,character2,1770,1810
421,,charge-fr,1984,2005
422,scene71-camera1,charlotte,285,320
423,,chase,489,555
424,,chat,719,775
425,,cheap,922,945
426,,cheat1,1179,1225
427,,cheat2,1365,1401
428,scene72-camera1,cheat3,269,310
429,,check1,486,517
430,,check2,722,753
431,,check3,961,1023
432,,checkers,1333,1361
433,,checking_account,1592,1637
434,scene73-camera1,cheek-fr,200,245
435,,cheese,442,475
436,,chef,629,685
437,,chemistry,886,930
438,,cherry,1095,1136
439,,chest,1317,1361
440,scene74-camera1,chew,340,423
441,,chewing_gum,561,603
442,,chicago,806,841
443,,child,1014,1053
444,,children,1255,1292
445,,chile-fr,1492,1526
446,scene75-camera1,chin,258,276
447,,china1,459,515
448,,china2,718,755
449,,chocolate,1002,1060
450,,choice,1253,1303
451,,choices,1514,1571
452,scene76-camera1,choke1_myself,268,302
453,,choke2_someone_else-fr,491,516
454,,choose,670,695
455,,christian,902,960
456,,christmas,1130,1160
457,,chuckle,1377,1400
458,scene77-camera1,church,297,336
459,,cigarette,508,538
460,,cigar-fr,724,770
461,,circle,1104,1153
462,,circumcise,1345,1380
463,,circus,1539,1576
464,scene78-camera1,clap,299,351
465,,classroom,700,755
466,,clean,923,946
467,,clean_up,1111,1150
468,,clever,1352,1375
469,,clip_bushes,1567,1618
470,scene79-camera1,clipping_nails1,512,563
471,,clipping_nails2,753,808
472,,clock,1915,1967
473,,close_door,2147,2180
474,,close_window,2402,2428
475,,close1-fr,2659,2695
476,scene81-camera1,close2-fr,862,910
477,,close3,1045,1078
478,,clothes-fr,1347,1388
479,,coach,1609,1647
480,,coat,1982,2018
481,,cocktail,2261,2303
482,scene82-camera1,coconut-fr,675,705
483,,coffee,904,965
484,,coins2,1157,1193
485,,coke,1401,1443
486,,cold1,1817,1852
487,,cold2,2037,2070
488,scene83-camera1,collapse_general_sign,321,355
489,,collar2-fr,527,556
490,,collect,726,782
491,,collection,929,978
492,,color,1142,1175
493,,colorado1,1397,1457
494,scene84-camera1,colorado2,264,316
495,,columbia-fr,507,533
496,,comb_hair,771,825
497,,comb-n,1022,1086
498,,come_on,1281,1320
499,,come1-fr,1458,1488
500,,come2-fr,1673,1705
